SITE_ID,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit,method_detection_limit,detection_limit_unit,quantitation_limit,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,SH_LATITUDE,SH_LONGITUDE,SH_PWL_ID,SH_WQ_STANDARD,INFO_TYPE,qaqc_date,X,sample_delivery_group,Project_name
13-MONH-0.4,13MONH-0.4_07192017_WS,"ALKALINITY, TOTAL (AS CaCO3)",7/19/2017,ALK,total,139,mg/l,1,mg/l,2,,A,,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,"ALKALINITY, TOTAL (AS CaCO3)",7/19/2017,ALK,total,134,mg/l,1,mg/l,2,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,"ALKALINITY, TOTAL (AS CaCO3)",7/19/2017,ALK,total,122,mg/l,1,mg/l,2,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,"ALKALINITY, TOTAL (AS CaCO3)",7/19/2017,ALK,total,138,mg/l,1,mg/l,2,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,"ALKALINITY, TOTAL (AS CaCO3)",7/19/2017,ALK,total,98.4,mg/l,1,mg/l,2,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-MONH-0.4,13MONH-0.4_07192017_WS,Aluminum,7/19/2017,7429-90-5,total,NA,ug/l,80.1,ug/l,100,U,U,Analyte was analyzed for but not detected,41.42361,-74.38111,1306-0074,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-QKER-0.9,13QKER-0.9_07192017_WS,Aluminum,7/19/2017,7429-90-5,total,304,ug/l,80.1,ug/l,100,,A,,41.32722,-74.41639,1306-0025,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-46.6,13WALK-46.6_07192017_WS,Aluminum,7/19/2017,7429-90-5,total,333,ug/l,80.1,ug/l,100,,A,,41.41222,-74.37805,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WALK-60.1,13WALK-60.1_07192017_WS,Aluminum,7/19/2017,7429-90-5,total,796,ug/l,80.1,ug/l,100,,A,,41.29083,-74.53056,1306-0017,C,NA,NA,NA,NA,Wallkill Special Study 2017
13-WCHEE-0.6,13WCHEE-0.6_07192017_WS,Aluminum,7/19/2017,7429-90-5,total,765,ug/l,80.1,ug/l,100,,A,,41.4086,-74.37299,1306-0061,C,NA,NA,NA,NA,Wallkill Special Study 2017
