"MMDH_RICHNESS","MMDH_RICHNESS_SCORE","MMDH_EPT_RICH","MMDH_EPT_SCORE","MMDH_HBI_INDEX","MMDH_HBI_SCORE","MMDH_SHANNON","MMDH_SHANNON_SCORE","MMDH_BIO_ASMT_PROFILE_SCORE","MMDH_PCT_MODEL_AFFINITY","MMDH_PCT_MODEL_AFFINITY_SCORE","MMDH_NUTRIENT_BIOTIC_INDEX_P","MMDH_NBI_P_SCORE","MMDH_NCO_RICH","MMDH_NCO_RICH_SCORE","MACRO_SPECIES_SAMP_INF_HIST_ID","MMDH_PCT_DOMINANCE_3","MMDH_PCT_DOMINANCE_3_SCORE"
30,10,"7","8.5",5.59,10,"3.29752633405396","8.99",9.37,"","","","","","","08-BEEV-0.8_20170905_2_1","",""
16,4.77,"7","8.5",6.01,9.98,"2.8101541293263","6.55",7.45,"","","","","","","09-STLW-1.0_20190814_2_1","",""
12,2.95,"3","4.5",5.97,10,"2.92829660055635","7.14",6.15,"","","","","","","09-STLW-1.0_20190814_2_2","",""
16,4.77,"6","8",5.95,10,"2.78177000753849","6.41",7.3,"","","","","","","08-BLCK-1.2_20170906_2_1","",""
12,2.95,"4","6",7.7,5.75,"1.27072247654303","0",3.67,"","","","","","","04-GENS-10.5_20190807_2_1","",""
15,4.32,"6","8",7.15,7.12,"2.11597279999136","3.08",5.63,"","","","","","","04-GENS-10.5_20190807_2_2","",""
17,5.45,"5","7",7.09,7.28,"2.05972270367988","2.8",5.63,"","","","","","","04-GENS-10.5_20190807_2_3","",""
14,3.86,"0","0",6.29,9.28,"2.96406572731288","7.32",5.12,"","","","","","","13-LHUD-104.6_20170906_2_1","",""
28,10,"3","4.5",7.18,7.05,"3.66819779510016","10",7.89,"","","","","","","12-MOHK-107.6_20190904_2_1","",""
26,10,"3","4.5",7.38,6.55,"3.5441549569387","10",7.76,"","","","","","","12-MOHK-107.6_20190904_2_2","",""
17,5.45,"3","4.5",7.51,6.23,"3.34305302618478","9.22",6.35,"","","","","","","12-MOHK-107.6_20190904_2_3","",""
10,1.43,"3","4.5",6.97,7.58,"2.81766392113934","6.59",5.03,"","","","","","","12-MOHK-107.6_20190904_2_4","",""
13,3.41,"2","3.5",6.1,9.75,"2.20946932555154","3.55",5.05,"","","","","","","13-LHUD-119.6_20170906_2_1","",""
18,5.91,"6","8",4.89,10,"2.93889463191608","7.19",7.78,"","","","","","","04-GENS-12.3_20190807_2_1","",""
15,4.32,"8","9",4.46,10,"2.69998666902504","6",7.33,"","","","","","","04-GENS-12.3_20190807_2_2","",""
10,1.43,"5","7",4.66,10,"2.54392914125355","5.22",5.91,"","","","","","","04-GENS-12.3_20190807_2_3","",""
23,8.5,"8","9",6.04,9.9,"3.29613911919663","8.98",9.1,"","","","","","","13-LHUD-133.4_20170906_2_1","",""
17,5.45,"6","8",6.32,9.2,"3.24720042146333","8.74",7.85,"","","","","","","09-REGI-2.3_20190814_2_1","",""
9,0.71,"3","4.5",6.87,7.82,"1.65454497903188","0.77",3.45,"","","","","","","09-REGI-2.3_20190814_2_2","",""
7,0,"4","6",6.8,8,"1.21082478063993","0",3.5,"","","","","","","09-REGI-2.3_20190814_2_3","",""
13,3.41,"5","7",6.58,8.55,"1.94754535843219","2.24",5.3,"","","","","","","09-REGI-2.3_20190814_2_4","",""
18,5.91,"3","4.5",7.85,5.38,"3.47319800603049","9.87",6.42,"","","","","","","04-GENS-2.6_20190808_2_1","",""
24,9,"5","7",8.09,4.78,"3.51378346844382","10",7.7,"","","","","","","04-GENS-2.6_20190808_2_2","",""
19,6.36,"4","6",7.94,5.15,"3.17749505752645","8.39",6.48,"","","","","","","04-GENS-2.6_20190808_2_3","",""
17,5.45,"12","10",3.82,10,"3.41684808670752","9.58",8.76,"","","","","","","09-REGI-2.7_20190814_2_1","",""
27,10,"10","10",5.63,10,"3.87282547244616","10",10,"","","","","","","09-REGI-2.7_20190814_2_2","",""
15,4.32,"10","10",5.36,10,"3.52311873288275","10",8.58,"","","","","","","09-REGI-2.7_20190814_2_3","",""
29,10,"17","10",4.5,10,"4.29066954875637","10",10,"","","","","","","09-REGI-2.7_20190814_2_4","",""
36,10,"22","10",3.68,10,"4.35676114711671","10",10,"","","","","","","09-REGI-2.8_20190814_2_1","",""
30,10,"16","10",4.14,10,"3.8144584191827","10",10,"","","","","","","09-REGI-2.8_20190814_2_2","",""
34,10,"21","10",3.67,10,"3.77125374973846","10",10,"","","","","","","09-REGI-2.8_20190814_2_3","",""
26,10,"17","10",2.88,10,"3.84013564158235","10",10,"","","","","","","09-REGI-2.8_20190814_2_4","",""
18,5.91,"7","8.5",7.22,6.95,"2.94095177937911","7.2",7.14,"","","","","","","03-WCAN-20.0_20190807_2_1","",""
20,6.82,"8","9",7.27,6.83,"2.71534486027806","6.08",7.18,"","","","","","","03-WCAN-20.0_20190807_2_2","",""
16,4.77,"4","6",7.41,6.47,"2.61415881352697","5.57",5.7,"","","","","","","03-WCAN-20.0_20190807_2_3","",""
17,5.45,"8","9",5.7,10,"2.80199470415234","6.51",7.74,"","","","","","","09-REGI-3.1_20190814_2_1","",""
13,3.41,"6","8",5.89,10,"2.60208528663108","5.51",6.73,"","","","","","","09-REGI-3.1_20190814_2_2","",""
12,2.95,"6","8",6.27,9.33,"2.40182165423497","4.51",6.2,"","","","","","","09-REGI-3.1_20190814_2_3","",""
13,3.41,"7","8.5",6.34,9.15,"2.78628827891097","6.43",6.87,"","","","","","","09-REGI-3.1_20190814_2_4","",""
14,3.86,"6","8",5.29,10,"3.00547098105525","7.53",7.35,"","","","","","","09-REGI-3.3_20190814_2_1","",""
19,6.36,"11","10",4.98,10,"3.6260649443172","10",9.09,"","","","","","","09-REGI-3.3_20190814_2_2","",""
13,3.41,"7","8.5",5.54,10,"2.49000472099161","4.95",6.72,"","","","","","","09-REGI-3.3_20190814_2_3","",""
21,7.27,"10","10",5.48,10,"3.14556127863473","8.23",8.88,"","","","","","","09-REGI-3.3_20190814_2_4","",""
19,6.36,"7","8.5",4.44,10,"3.28912582682335","8.95",8.45,"","","","","","","09-STLW-3.5_20190814_2_1","",""
18,5.91,"6","8",4.22,10,"3.17932145591873","8.4",8.08,"","","","","","","09-STLW-3.5_20190814_2_2","",""
35,10,"6","8",6.2,9.5,"4.44516886028383","10",9.38,"","","","","","","08-BLCK-30.0_20170905_2_1","",""
16,4.77,"8","9",4.89,10,"3.45799815286704","9.79",8.39,"","","","","","","09-REGI-4.0_20190814_2_1","",""
16,4.77,"9","9.5",4.55,10,"3.32968353367638","9.15",8.36,"","","","","","","09-REGI-4.0_20190814_2_2","",""
26,10,"9","9.5",6.69,8.27,"3.86175885543435","10",9.44,"","","","","","","04-GENS-4.7_20190808_2_1","",""
19,6.36,"5","7",6.65,8.38,"3.61133372892129","10",7.94,"","","","","","","04-GENS-4.7_20190808_2_2","",""
20,6.82,"6","8",6.7,8.25,"3.39892574187254","9.49",8.14,"","","","","","","04-GENS-4.7_20190808_2_3","",""
26,10,"6","8",5.99,10,"3.75451088910327","10",9.5,"","","","","","","09-GRAS-4.9_20190814_2_1","",""
10,1.43,"3","4.5",6.5,8.75,"1.8455458714528","1.73",4.1,"","","","","","","09-GRAS-4.9_20190814_2_2","",""
27,10,"8","9",6.89,7.78,"3.32067380587103","9.1",8.97,"","","","","","","09-GRAS-4.9_20190814_2_3","",""
4,0,"0","0",7.97,5.08,"0.498493659290318","0",1.27,"","","","","","","12-MOHK-44.5_20190905_2_1","",""
6,0,"0","0",7.97,5.08,"0.437217691952734","0",1.27,"","","","","","","12-MOHK-44.5_20190905_2_2","",""
5,0,"0","0",7.96,5.1,"0.503168312390124","0",1.27,"","","","","","","12-MOHK-44.5_20190905_2_3","",""
7,0,"1","1.5",7.94,5.15,"0.754811960887881","0",1.66,"","","","","","","12-MOHK-44.5_20190905_2_4","",""
14,3.86,"2","3.5",7.59,6.03,"2.52419485719579","5.12",4.63,"","","","","","","12-MOHK-45.9_20190905_2_1","",""
15,4.32,"1","1.5",7.53,6.17,"1.88542212157259","1.93",3.48,"","","","","","","12-MOHK-45.9_20190905_2_2","",""
13,3.41,"3","4.5",6.93,7.68,"2.89358295482642","6.97",5.64,"","","","","","","12-MOHK-45.9_20190905_2_3","",""
10,1.43,"2","3.5",7.59,6.03,"1.77869399864711","1.39",3.09,"","","","","","","12-MOHK-45.9_20190905_2_4","",""
21,7.27,"2","3.5",7.37,6.57,"3.58571041567932","10",6.84,"","","","","","","08-BLCK-47.6_20170905_2_1","",""
19,6.36,"7","8.5",6.55,8.62,"2.9222217676662","7.11",7.65,"","","","","","","12-MOHK-49.4_20190905_2_1","",""
17,5.45,"7","8.5",6.91,7.72,"2.22433050172044","3.62",6.32,"","","","","","","12-MOHK-49.4_20190905_2_2","",""
12,2.95,"5","7",7.29,6.78,"1.827665398581","1.64",4.59,"","","","","","","12-MOHK-49.4_20190905_2_3","",""
14,3.86,"6","8",6.91,7.72,"2.44258259628168","4.71",6.07,"","","","","","","12-MOHK-49.4_20190905_2_4","",""
10,1.43,"5","7",7.97,5.08,"0.844136851281393","0",3.38,"","","","","","","03-WCAN-51.8_20190807_2_1","",""
17,5.45,"4","6",7.91,5.22,"1.75864943009379","1.29",4.49,"","","","","","","03-WCAN-51.8_20190807_2_2","",""
15,4.32,"4","6",7.96,5.1,"1.03342206914603","0",3.86,"","","","","","","03-WCAN-51.8_20190807_2_3","",""
21,7.27,"8","9",7.93,5.18,"2.45926043619973","4.8",6.56,"","","","","","","09-STLW-51.9_20190813_2_1","",""
27,10,"9","9.5",6.17,9.57,"3.63070003450035","10",9.77,"","","","","","","09-STLW-51.9_20190813_2_2","",""
20,6.82,"5","7",8.16,4.6,"2.34563703412714","4.23",5.66,"","","","","","","09-STLW-51.9_20190813_2_3","",""
18,5.91,"9","9.5",4.27,10,"3.84188964894185","10",8.85,"","","","","","","08-BLCK-69.6_20170905_2_1","",""
31,10,"13","10",4.64,10,"3.81289415919763","10",10,"","","","","","","09-REGI-7.8_20190814_2_1","",""
37,10,"16","10",5.22,10,"3.9266039668228","10",10,"","","","","","","09-REGI-7.8_20190814_2_2","",""
28,10,"9","9.5",5.85,10,"4.19580154545608","10",9.88,"","","","","","","08-BLCK-76.5_20170905_2_1","",""
17,5.45,"7","8.5",5.67,10,"3.07516401381939","7.88",7.96,"","","","","","","12-MOHK-79.5_20190904_2_1","",""
16,4.77,"3","4.5",6.03,9.92,"3.00568774538734","7.53",6.68,"","","","","","","12-MOHK-79.5_20190904_2_2","",""
15,4.32,"5","7",5.77,10,"2.94543921083371","7.23",7.14,"","","","","","","12-MOHK-79.5_20190904_2_3","",""
18,5.91,"5","7",5.57,10,"3.13318676995018","8.17",7.77,"","","","","","","12-MOHK-79.5_20190904_2_4","",""
20,6.82,"10","10",5.32,10,"3.03269705193173","7.66",8.62,"","","","","","","12-MOHK-81.3_20190904_2_1","",""
23,8.5,"8","9",5.59,10,"3.19165607113923","8.46",8.99,"","","","","","","12-MOHK-81.3_20190904_2_2","",""
19,6.36,"8","9",5.17,10,"2.97538647900248","7.38",8.19,"","","","","","","12-MOHK-81.3_20190904_2_3","",""
26,10,"12","10",5.31,10,"2.94028683791566","7.2",9.3,"","","","","","","12-MOHK-81.3_20190904_2_4","",""
14,3.86,"1","1.5",6.59,8.53,"2.16659168474287","3.33",4.3,"","","","","","","09-STLW-86.3_20190813_2_1","",""
13,3.41,"2","3.5",6.11,9.72,"2.70757449992996","6.04",5.67,"","","","","","","09-STLW-86.3_20190813_2_2","",""
11,2.14,"1","1.5",5.23,10,"2.64393267296686","5.72",4.84,"","","","","","","09-STLW-86.3_20190813_2_3","",""
12,2.95,"0","0",6.26,9.35,"2.23339282334392","3.67",3.99,"","","","","","","13-LHUD-89.3_20170906_2_1","",""
19,5.29,"4","4.17",6.57,4.91,"2.74310935480847","4.36",4.68,"","","","","","","13-WALK-2.1_20170824_5_1","",""
25,7.06,"5","4.72",7.33,3.96,"3.81694777164104","7.04",5.7,"","","","","","","13-WALK-2.1_20170824_5_2","",""
11,2.79,"4","4.17",9.1,1.5,"1.54375237690229","1.36",2.46,"","","","","","","13-WALK-2.1_20180816_5_1","",""
4,0,"3","3.61",5.81,5.86,"1.70281953111478","1.76",2.81,"","","","","","","13-WALK-2.1_20180816_5_2","",""
8,1.36,"6","5.45",5.47,6.29,"2.56575603493086","3.91",4.25,"","","","","","","13-WALK-2.1_20180816_5_3","",""
9,1.82,"4","4.17",7.73,3.46,"1.83453712757349","2.09",2.88,"","","","","","","13-WALK-2.1_20180816_5_4","",""
20,5.59,"8","6.36",6.1,5.5,"3.78637638919435","6.97",6.11,"","","","","","","09-REGI-2.3_20140813_5_1","",""
16,4.26,"7","5.91",5.53,6.21,"3.57978269628446","6.45",5.71,"","","","","","","09-REGI-2.3_20140813_5_2","",""
