SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_ID,Date,SEIH_YSI_METER_ID,PARAMETER_NAME,PCODE,RESULT,unit,QLFR_NOTE,VALIDATOR_QUAL,VALIDATOR_QUAL_REASON,VALIDATION_DATE
1,01-BEAM-0.1_20050914,01-BEAM-0.1,9/14/2005,,TEMPERATURE,U00010,16.3,deg C,,,,
2,01-BEAM-0.1_20050914,01-BEAM-0.1,9/14/2005,,CONDUCTANCE,U00094,435,uS/cm,,,,
3,01-BEAM-0.1_20050914,01-BEAM-0.1,9/14/2005,,DISSOLVED_OXYGEN,U00300,10.11,mg/L,,,,
4,01-BEAM-0.1_20050914,01-BEAM-0.1,9/14/2005,,PH,U00400,7.56,std units,,,,
5,01-BELS-2.7_20100901,01-BELS-2.7,9/1/2010,,TEMPERATURE,U00010,20.7,deg C,,,,
6,01-BELS-2.7_20100901,01-BELS-2.7,9/1/2010,,CONDUCTANCE,U00094,425,uS/cm,,,,
7,01-BELS-2.7_20100901,01-BELS-2.7,9/1/2010,,DISSOLVED_OXYGEN,U00300,6.4,mg/L,,,,
8,01-BELS-2.7_20100901,01-BELS-2.7,9/1/2010,,PH,U00400,7.66,std units,,,,
9,01-BELS-2.7_20100901,01-BELS-2.7,9/1/2010,,PCT_SATURATION,U00301,71,%,,,,
10,01-BERG-1.3_20000912,01-BERG-1.3,9/12/2000,,TEMPERATURE,U00010,22.2,deg C,,,,
11,01-BERG-1.3_20000912,01-BERG-1.3,9/12/2000,,CONDUCTANCE,U00094,1050,uS/cm,,,,
12,01-BERG-1.3_20000912,01-BERG-1.3,9/12/2000,,DISSOLVED_OXYGEN,U00300,5.3,mg/L,,,,
13,01-BERG-1.3_20000912,01-BERG-1.3,9/12/2000,,PH,U00400,7.7,std units,,,,
14,01-BEVC-1.1_20050913,01-BEVC-1.1,9/13/2005,,TEMPERATURE,U00010,24.8,deg C,,,,
15,01-BEVC-1.1_20050913,01-BEVC-1.1,9/13/2005,,CONDUCTANCE,U00094,376,uS/cm,,,,
16,01-BEVC-1.1_20050913,01-BEVC-1.1,9/13/2005,,DISSOLVED_OXYGEN,U00300,11.6,mg/L,,,,
17,01-BEVC-1.1_20050913,01-BEVC-1.1,9/13/2005,,PH,U00400,8.6,std units,,,,
18,01-BIND-1.9_20050913,01-BIND-1.9,9/13/2005,,TEMPERATURE,U00010,21.6,deg C,,,,
19,01-BIND-1.9_20050913,01-BIND-1.9,9/13/2005,,CONDUCTANCE,U00094,368,uS/cm,,,,
20,01-BIND-1.9_20050913,01-BIND-1.9,9/13/2005,,DISSOLVED_OXYGEN,U00300,4.1,mg/L,,,,
