"MACRO_SPECIES_SAMP_INF_HIST_ID","MMDH_RICHNESS","MMDH_RICHNESS_SCORE","MMDH_EPT_RICH","MMDH_EPT_SCORE","MMDH_HBI_INDEX","MMDH_HBI_SCORE","MMDH_SHANNON","MMDH_SHANNON_SCORE","MMDH_BIO_ASMT_PROFILE_SCORE","MMDH_PCT_MODEL_AFFINITY","MMDH_PCT_MODEL_AFFINITY_SCORE","MMDH_NUTRIENT_BIOTIC_INDEX_P","MMDH_NBI_P_SCORE","MMDH_NCO_RICH","MMDH_NCO_RICH_SCORE","MMDH_PCT_DOMINANCE_3","MMDH_PCT_DOMINANCE_3_SCORE","MSSIH_EVENT_SMAS_HISTORY_ID","MSSIH_EVENT_SMAS_SAMPLE_DATE","MSSIH_BIOSAMPLE_COLLECT_METHOD_NUM","BIOSAMPLE_COLLECT_METHOD"
"01-BEAM-0.1_20050914_1_1",31,8.89,13,9,3.85,8.15,NA,NA,7.83,58,6.45,5.33,6.67,NA,NA,NA,NA,"01-BEAM-0.1","9/14/2005",1,"Kick:Standard"
"01-BELS-2.7_20100901_1_1",26,7.35,13,9,4.09,7.91,NA,NA,7.77,82,9.23,5.85,5.38,NA,NA,NA,NA,"01-BELS-2.7","9/1/2010",1,"Kick:Standard"
"01-BERG-1.3_20000912_1_1",16,4.26,2,3.06,6.89,4.51,NA,NA,3.7,47,4.6,7.17,2.08,NA,NA,NA,NA,"01-BERG-1.3","9/12/2000",1,"Kick:Standard"
"01-BEVC-1.1_20050913_1_1",14,3.68,7,5.91,5.75,5.94,NA,NA,6.58,75,8.56,3.68,8.82,NA,NA,NA,NA,"01-BEVC-1.1","9/13/2005",1,"Kick:Standard"
"01-BIND-1.9_20050913_1_1",21,5.88,11,8,4.72,7.23,NA,NA,6.74,65,7.6,6,5,NA,NA,NA,NA,"01-BIND-1.9","9/13/2005",1,"Kick:Standard"
"01-BLAS-0.1_20110726_1_1",20,5.59,0,0,7.41,3.86,NA,NA,3.18,36,2.82,6.55,3.63,NA,NA,NA,NA,"01-BLAS-0.1","7/26/2011",1,"Kick:Standard"
"01-BLKE-0.1_20000912_1_1",13,3.38,3,3.61,6.45,5.06,NA,NA,2.95,29,1.55,7.55,1.13,NA,NA,NA,NA,"01-BLKE-0.1","9/12/2000",1,"Kick:Standard"
"01-BMAN-0.3_20000913_1_1",12,3.09,3,3.61,5.65,6.06,NA,NA,3.42,32,2.07,7.09,2.28,NA,NA,NA,NA,"01-BMAN-0.3","9/13/2000",1,"Kick:Standard"
"01-BMAN-0.3_20150804_1_1",22,6.18,4,4.17,5.96,5.67,NA,NA,4.22,45,4.27,7.68,0.8,NA,NA,NA,NA,"01-BMAN-0.3","8/4/2015",1,"Kick:Standard"
"01-BOUR-0.4_20050913_1_1",19,5.29,4,4.17,5.55,6.19,NA,NA,4.61,50,5.16,7.1,2.25,NA,NA,NA,NA,"01-BOUR-0.4","9/13/2005",1,"Kick:Standard"
