"SITE_ID","DATE","year","MMDH_BIO_ASMT_PROFILE_SCORE","SH_WQ_STANDARD","SH_PWL_ID","siteyear"
"13-DWAR-2.0",2018-08-27,2018,6.53,"C","1306-0062","13-DWAR-2.0_2018"
"13-DWAR-2.0",2018-08-27,2018,4.88,"C","1306-0062","13-DWAR-2.0_2018"
"13-DWAR-2.0",2019-08-09,2019,9.14,"C","1306-0062","13-DWAR-2.0_2019"
"13-DWAR-2.0",2018-08-27,2018,7.39,"C","1306-0062","13-DWAR-2.0_2018"
"13-DWAR-2.0",2018-08-27,2018,6.29,"C","1306-0062","13-DWAR-2.0_2018"
"13-GUNK-0.4",2002-09-10,2002,7.09,"B","1306-0045","13-GUNK-0.4_2002"
"13-GUNK-0.4",2003-08-26,2003,7.85,"B","1306-0045","13-GUNK-0.4_2003"
"13-GUNK-0.4",2007-08-28,2007,7.81,"B","1306-0045","13-GUNK-0.4_2007"
"13-GUNK-0.4",2007-09-13,2007,7.86,"B","1306-0045","13-GUNK-0.4_2007"
"13-GUNK-0.4",2018-08-27,2018,7.97,"B","1306-0045","13-GUNK-0.4_2018"
"13-GUNK-0.4",2018-08-27,2018,7.83,"B","1306-0045","13-GUNK-0.4_2018"
"13-GUNK-0.4",2018-08-27,2018,7.88,"B","1306-0045","13-GUNK-0.4_2018"
"13-GUNK-0.4",2018-08-27,2018,7.56,"B","1306-0045","13-GUNK-0.4_2018"
"13-GUNK-0.4",2017-08-03,2017,6.73,"B","1306-0045","13-GUNK-0.4_2017"
"13-GUNK-0.4",1994-09-08,1994,7.39,"B","1306-0045","13-GUNK-0.4_1994"
"13-GUNK-37.7",2018-08-27,2018,1.98,"B","1306-0047","13-GUNK-37.7_2018"
"13-GUNK-37.7",2018-08-27,2018,2.48,"B","1306-0047","13-GUNK-37.7_2018"
"13-GUNK-37.7",2018-08-27,2018,2.3,"B","1306-0047","13-GUNK-37.7_2018"
"13-GUNK-37.7",2018-08-27,2018,2.15,"B","1306-0047","13-GUNK-37.7_2018"
"13-GUNK-40.3",2018-08-27,2018,3.83,"A","1306-0048","13-GUNK-40.3_2018"
"13-GUNK-40.3",2018-08-27,2018,4.42,"A","1306-0048","13-GUNK-40.3_2018"
"13-GUNK-40.3",2018-08-27,2018,2.95,"A","1306-0048","13-GUNK-40.3_2018"
"13-GUNK-40.3",2018-08-27,2018,4.15,"A","1306-0048","13-GUNK-40.3_2018"
"13-LGUN-6.0",2018-08-27,2018,4.72,"B","1306-0059","13-LGUN-6.0_2018"
"13-LGUN-6.0",2018-08-27,2018,2.04,"B","1306-0059","13-LGUN-6.0_2018"
"13-LGUN-6.0",2018-08-27,2018,2.57,"B","1306-0059","13-LGUN-6.0_2018"
"13-LGUN-6.0",2018-08-27,2018,2.14,"B","1306-0059","13-LGUN-6.0_2018"
"13-MASO-0.2",2018-08-27,2018,6.13,"B","1306-0072","13-MASO-0.2_2018"
"13-MASO-0.2",2018-08-27,2018,4.75,"B","1306-0072","13-MASO-0.2_2018"
"13-MASO-0.2",2018-08-27,2018,6.32,"B","1306-0072","13-MASO-0.2_2018"
"13-MASO-0.2",2012-09-08,2012,3.61,"B","1306-0072","13-MASO-0.2_2012"
"13-MASO-0.2",2018-08-27,2018,5.06,"B","1306-0072","13-MASO-0.2_2018"
"13-MONH-0.4",2018-08-27,2018,5.93,"C","1306-0074","13-MONH-0.4_2018"
"13-MONH-0.4",2018-08-27,2018,4.94,"C","1306-0074","13-MONH-0.4_2018"
"13-MONH-0.4",1986-06-17,1986,1.68,"C","1306-0074","13-MONH-0.4_1986"
"13-MONH-0.4",2018-08-27,2018,4.92,"C","1306-0074","13-MONH-0.4_2018"
"13-MONH-0.4",2017-08-02,2017,5.94,"C","1306-0074","13-MONH-0.4_2017"
"13-MONH-0.4",2017-08-02,2017,6.07,"C","1306-0074","13-MONH-0.4_2017"
"13-MONH-0.4",2012-09-08,2012,5.71,"C","1306-0074","13-MONH-0.4_2012"
"13-MONH-0.4",2018-08-27,2018,5.54,"C","1306-0074","13-MONH-0.4_2018"
"13-MONH-0.4",2004-07-29,2004,4.85,"C","1306-0074","13-MONH-0.4_2004"
"13-MONH-0.4",1992-08-27,1992,4.32,"C","1306-0074","13-MONH-0.4_1992"
"13-MONH-4.1",1986-06-17,1986,1.77,"C","1306-0074","13-MONH-4.1_1986"
"13-MONH-4.1",2017-07-26,2017,4.41,"C","1306-0074","13-MONH-4.1_2017"
"13-MONH-4.1",2018-08-27,2018,4.26,"C","1306-0074","13-MONH-4.1_2018"
"13-MONH-4.1",2018-08-27,2018,3.09,"C","1306-0074","13-MONH-4.1_2018"
"13-MONH-4.1",1992-08-27,1992,3.97,"C","1306-0074","13-MONH-4.1_1992"
"13-MONH-4.1",2018-08-27,2018,4.03,"C","1306-0074","13-MONH-4.1_2018"
"13-MONH-4.1",2018-08-27,2018,4.01,"C","1306-0074","13-MONH-4.1_2018"
"13-PKIL-0.4",2018-08-27,2018,7.35,"B(T)","1306-0044","13-PKIL-0.4_2018"
"13-PKIL-0.4",2018-08-27,2018,6.37,"B(T)","1306-0044","13-PKIL-0.4_2018"
"13-PKIL-0.4",2018-08-27,2018,6.31,"B(T)","1306-0044","13-PKIL-0.4_2018"
"13-PKIL-0.4",2018-08-27,2018,7.3,"B(T)","1306-0044","13-PKIL-0.4_2018"
"13-PKIL-0.4",2019-08-08,2019,8.32,"B(T)","1306-0044","13-PKIL-0.4_2019"
"13-POCH-1.8",2018-08-28,2018,5.33,"C","1306-0078","13-POCH-1.8_2018"
"13-POCH-1.8",2018-08-28,2018,5.23,"C","1306-0078","13-POCH-1.8_2018"
"13-POCH-1.8",2018-08-28,2018,6.05,"C","1306-0078","13-POCH-1.8_2018"
"13-POCH-1.8",2019-08-08,2019,6.77,"C","1306-0078","13-POCH-1.8_2019"
"13-POCH-1.8",2018-08-28,2018,5.1,"C","1306-0078","13-POCH-1.8_2018"
"13-QKER-0.9",2008-07-16,2008,4.25,"C","1306-0025","13-QKER-0.9_2008"
"13-QKER-0.9",2012-09-08,2012,4.44,"C","1306-0025","13-QKER-0.9_2012"
"13-QKER-0.9",1994-09-07,1994,2.09,"C","1306-0025","13-QKER-0.9_1994"
"13-QKER-0.9",1995-09-14,1995,1.89,"C","1306-0025","13-QKER-0.9_1995"
"13-QKER-0.9",2007-09-12,2007,3.32,"C","1306-0025","13-QKER-0.9_2007"
"13-QKER-0.9",2008-07-22,2008,3.64,"C","1306-0025","13-QKER-0.9_2008"
"13-RIOG-0.7",2012-08-20,2012,7.11,"C","1306-0061","13-RIOG-0.7_2012"
"13-RUTG-1.5",2018-08-28,2018,5.48,"C","1306-0006","13-RUTG-1.5_2018"
"13-RUTG-1.5",2018-08-28,2018,6.28,"C","1306-0006","13-RUTG-1.5_2018"
"13-RUTG-1.5",2019-08-08,2019,8.05,"C","1306-0006","13-RUTG-1.5_2019"
"13-RUTG-1.5",2018-08-28,2018,5.82,"C","1306-0006","13-RUTG-1.5_2018"
"13-RUTG-1.5",2012-09-13,2012,7.75,"C","1306-0006","13-RUTG-1.5_2012"
"13-RUTG-1.5",2018-08-28,2018,5.49,"C","1306-0006","13-RUTG-1.5_2018"
"13-SWAK-1.7",2019-08-08,2019,8.21,"B","1306-0039","13-SWAK-1.7_2019"
"13-SWAK-1.7",2018-08-27,2018,6.63,"B","1306-0039","13-SWAK-1.7_2018"
"13-SWAK-1.7",2018-08-27,2018,6.33,"B","1306-0039","13-SWAK-1.7_2018"
"13-SWAK-1.7",2018-08-27,2018,6.44,"B","1306-0039","13-SWAK-1.7_2018"
"13-SWAK-1.7",2018-08-27,2018,6.66,"B","1306-0039","13-SWAK-1.7_2018"
"13-TINW-0.5",2019-08-08,2019,8.28,"A","1306-0068","13-TINW-0.5_2019"
"13-TINW-0.5",2018-08-27,2018,4.35,"A","1306-0068","13-TINW-0.5_2018"
"13-TINW-0.5",2018-08-27,2018,3.21,"A","1306-0068","13-TINW-0.5_2018"
"13-TINW-0.5",2018-08-27,2018,3.81,"A","1306-0068","13-TINW-0.5_2018"
"13-TINW-0.5",2018-08-27,2018,2.06,"A","1306-0068","13-TINW-0.5_2018"
"13-WALK-19.0",2018-08-27,2018,5.49,"B","1306-0045","13-WALK-19.0_2018"
"13-WALK-19.0",2018-08-27,2018,5.76,"B","1306-0045","13-WALK-19.0_2018"
"13-WALK-19.0",2018-08-27,2018,5.55,"B","1306-0045","13-WALK-19.0_2018"
"13-WALK-2.1",2018-08-16,2018,2.28,"B","1306-0027","13-WALK-2.1_2018"
"13-WALK-2.1",2017-08-24,2017,5.55,"B","1306-0027","13-WALK-2.1_2017"
"13-WALK-2.1",2018-08-16,2018,2.74,"B","1306-0027","13-WALK-2.1_2018"
"13-WALK-2.1",2017-08-24,2017,4.64,"B","1306-0027","13-WALK-2.1_2017"
"13-WALK-2.1",2018-08-16,2018,4.14,"B","1306-0027","13-WALK-2.1_2018"
"13-WALK-2.1",2018-08-16,2018,2.75,"B","1306-0027","13-WALK-2.1_2018"
"13-WALK-22.8",2018-08-27,2018,5.2,"B","1306-0038","13-WALK-22.8_2018"
"13-WALK-22.8",2018-08-27,2018,5.24,"B","1306-0038","13-WALK-22.8_2018"
"13-WALK-22.8",2018-08-27,2018,4.83,"B","1306-0038","13-WALK-22.8_2018"
"13-WALK-22.8",2018-08-27,2018,5.04,"B","1306-0038","13-WALK-22.8_2018"
"13-WALK-22.8",1994-09-08,1994,5.76,"B","1306-0038","13-WALK-22.8_1994"
"13-WALK-22.8",2008-07-15,2008,5.31,"B","1306-0038","13-WALK-22.8_2008"
"13-WALK-26.9",2018-08-27,2018,5.25,"B","1306-0038","13-WALK-26.9_2018"
"13-WALK-26.9",2018-08-27,2018,6.18,"B","1306-0038","13-WALK-26.9_2018"
"13-WALK-26.9",2018-08-27,2018,3.92,"B","1306-0038","13-WALK-26.9_2018"
"13-WALK-26.9",2018-08-27,2018,5.91,"B","1306-0038","13-WALK-26.9_2018"
"13-WALK-29.9",2018-08-27,2018,4.69,"B","1306-0038","13-WALK-29.9_2018"
"13-WALK-29.9",2018-08-27,2018,4.5,"B","1306-0038","13-WALK-29.9_2018"
"13-WALK-29.9",2018-08-27,2018,4.43,"B","1306-0038","13-WALK-29.9_2018"
"13-WALK-29.9",2018-08-27,2018,4.1,"B","1306-0038","13-WALK-29.9_2018"
"13-WALK-35.6",2008-07-15,2008,5.33,"B","1306-0038","13-WALK-35.6_2008"
"13-WALK-35.6",1994-09-08,1994,5.73,"B","1306-0038","13-WALK-35.6_1994"
