parameter,fraction,t,classifcation,trout_class,type,use,water_type,threshold,direction
ammonia,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,2000,<=
ammonia,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,2000,<=
ammonia,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,2000,<=
ammonia,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,2000,<=
ammonia,total,mg/l,c,non_trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, b,non_trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, a,non_trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, a-special,non_trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, aa,non_trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, aa-special,non_trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l,c,trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, b,trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, a,trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, a-special,trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, aa,trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, aa-special,trout,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l,c,trout_spawning,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, b,trout_spawning,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, a,trout_spawning,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, a-special,trout_spawning,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, aa,trout_spawning,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l, aa-special,trout_spawning,aquatic_chronic,fishing,flow; pond,NA,<=
ammonia,total,mg/l,d,none,aquatic_acute,fishing,flow; pond,NA,<=
ammonia,total,ug/l,sd,none,aquatic_acute,fishing,flow,230,<=
ammonia,total,ug/l, sc,none,aquatic_acute,fishing,flow,230,<=
ammonia,total,ug/l, i,none,aquatic_acute,fishing,flow,230,<=
ammonia,total,ug/l, sb,none,aquatic_acute,fishing,flow,230,<=
ammonia,total,ug/l, sa,none,aquatic_acute,fishing,flow,230,<=
ammonia,total,ug/l,sc,none,aquatic_chronic,fishing,flow,35,<=
ammonia,total,ug/l, i,none,aquatic_chronic,fishing,flow,35,<=
ammonia,total,ug/l, sb,none,aquatic_chronic,fishing,flow,35,<=
ammonia,total,ug/l, sa,none,aquatic_chronic,fishing,flow,35,<=
arsenic,total,ug/l,a,all,health_water-supply,source of water supply,flow; pond,50,<=
arsenic,total,ug/l, a-special,all,health_water-supply,source of water supply,flow; pond,50,<=
arsenic,total,ug/l, aa,all,health_water-supply,source of water supply,flow; pond,50,<=
arsenic,total,ug/l, aa-special,all,health_water-supply,source of water supply,flow; pond,50,<=
arsenic,dissolved,ug/l,c,all,aquatic_chronic,fishing,flow; pond,150,<=
arsenic,dissolved,ug/l, b,all,aquatic_chronic,fishing,flow; pond,150,<=
arsenic,dissolved,ug/l, a,all,aquatic_chronic,fishing,flow; pond,150,<=
arsenic,dissolved,ug/l, a-special,all,aquatic_chronic,fishing,flow; pond,150,<=
arsenic,dissolved,ug/l, aa,all,aquatic_chronic,fishing,flow; pond,150,<=
arsenic,dissolved,ug/l, aa-special,all,aquatic_chronic,fishing,flow; pond,150,<=
