Core.Indicator,WQS,Classification,Best_Use,Use_Rank,75.p.avail
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 50 and 240",AA,Source of Water Supply,1,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",A,Source of Water Supply,1,
Total Coliform,"Geo mean, of not less than five samples, take over not more than a 30 day period shall not exceed 1,000.",A-Special,Source of Water Supply,1,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",B,Primary Contact Recreation and Secondary Contact Recreation,2,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",C,Fishing,3,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",D,Fishing,3,
Total Coliform,Median most probable number value in any series of representative samples shall not be in excess of 70,SA,Shellfishing,4,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",SB,Primary Contact Recreation and Secondary Contact Recreation,2,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",SC,Fishing,3,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",I,Secondary Contact Recreation,5,
Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",SD,Fishing,3,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",A,Source of Water Supply,1,
Fecal Coliforms,"Geomean of not less than five samples, taken over not more than a 30 day period shall not exceed 200.",A-Special,Source of Water Supply,1,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",B,Primary Contact Recreation and Secondary Contact Recreation,2,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",C,Fishing,3,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",D,Fishing,3,
Fecal Coliforms,"Shellfish closures issued by DMR based on regulations from 6 NYCRR, Chapter 1, Part 47.3",SA,Shellfishing,4,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",SB,Primary Contact Recreation and Secondary Contact Recreation,2,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",SC,Fishing,3,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",I,Secondary Contact Recreation,5,
Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",SD,Fishing,3,
Arsenic,50 ug/L,A,Source of Water Supply,1,Yes
