parameter,fraction,units,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,type,use,water_type,standard_type,narrative,wqs_threshold,wqs_threshold_formula,wqs_threshold_x_column,wqs_threshold_y_column,statistic,min_n,block,direction,threshold,t,summarize_rows,summarize_rows_operator,classification,calculation
"nitrogen, ammonia (as n)",total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,,none,none,none,1,single,<=,2000,ug/l,FALSE,,a,
"nitrogen, ammonia (as n)",total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,,none,none,none,1,single,<=,2000,ug/l,FALSE,,a-special,
"nitrogen, ammonia (as n)",total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,,none,none,none,1,single,<=,2000,ug/l,FALSE,,aa,
"nitrogen, ammonia (as n)",total,ug/l,a; a-special; aa; aa-special,fresh,all,nys; great_lakes,january-december,months,health_water-supply,source of water supply,flow; pond,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,,none,none,none,1,single,<=,2000,ug/l,FALSE,,aa-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,c,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,b,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,non_trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,c,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,b,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,c,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,b,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,a-special,
"nitrogen, ammonia (as n)",total,ug/l,c; b; a; a-special; aa; aa-special,fresh,trout_spawning,nys; great_lakes,january-december,months,aquatic_chronic,fishing,flow; pond,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,thresh_total_ammonia,result_numeric_ph,result_numeric_temperature,none,1,single,<=,NA,mg/l,FALSE,,aa,
