Classification,use,parameter,wqs.narrative,wqs.type,wqs.time,wqs.violation.direction,wqs.numeric,units,calculation.,75.p.available,params.for.calcs.1,params.for.calcs.2
(T),Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 6.0 mg/L, and at no time shall the concentration be less than 5.0 mg/L",average,daily,less,6,mg/L,f,,,
(T),Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 6.0 mg/L, and at no time shall the concentration be less than 5.0 mg/L",threshold,single,less,5,mg/L,f,,,
(TS),Fishing,Dissolved Oxygen,Shall not be less than 7.0 mg/L from other than natural conditions.,threshold,single,less,7,mg/L,t,,,
A,Source of Water Supply,Mercury,0.7 ug/L,threshold,single,greater,0.7,ug/L,f,,,
A,Source of Water Supply,"NITROGEN, NITRATE (AS N)","10,000 ug/L",threshold,single,greater,10000,ug/L,f,,,
A,Source of Water Supply,Nickel,100 ug/L,threshold,single,greater,100,ug/L,f,Yes,,
A,Source of Water Supply,Phosphorus,20 ug/L,threshold,single,greater,20,ug/L,f,,,
A,Source of Water Supply,Nickel,200 ug/L,threshold,single,greater,200,ug/L,f,,,
A,Source of Water Supply,CHLORIDE (AS CL),"250,000 ug/L",threshold,single,greater,250000,ug/L,f,Yes,,
A,Source of Water Supply,Iron,300 ug/L,threshold,single,greater,300,ug/L,f,,,
A,Source of Water Supply,Manganese,300 ug/L,threshold,single,greater,300,ug/L,f,Yes,,
A,Source of Water Supply,Arsenic,50 ug/L,threshold,single,greater,50,ug/L,f,Yes,,
A,Source of Water Supply,Lead,50 ug/L,threshold,single,greater,50,ug/L,f,,,
A,Source of Water Supply,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",500 ug/L,threshold,single,greater,500,ug/L,f,,,
A,Source of Water Supply,Zinc,exp(0.85 [ln(ppm hardness)] + 0.50),calculation,single,greater,,ug/L,t,Yes,hardness,
A,Source of Water Supply,Fecal Coliforms,"Monthly geomean from a minimum of five examinations, shall not exceed 200.",geomean,monthly,greater,200,calculation,t,,,
A,Source of Water Supply,Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,000",calculation,monthly,greater,2400,calculation,t,,,
A,Source of Water Supply,Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 2,400 and 5,001",calculation,percentage,greater,50001,calculation,t,,,
A,Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.",average,daily,less,5,mg/L,f,,,
A,Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.",threshold,single,less,4,mg/L,f,,,
B,Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.",average,daily,less,5,mg/L,f,,,
B,Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.",threshold,single,less,4,mg/L,f,,,
C,Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.",average,daily,less,5,mg/L,f,,,
C,Fishing,Dissolved Oxygen,"Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.",threshold,single,less,4,mg/L,f,,,
AA,Source of Water Supply,Mercury,0.7 ug/L,threshold,single,greater,0.7,ug/L,f,,,
AA,Source of Water Supply,"NITROGEN, NITRATE (AS N)","10,000 ug/L",threshold,single,greater,10000,ug/L,f,,,
AA,Source of Water Supply,Nickel,100 ug/L,threshold,single,greater,100,ug/L,f,Yes,,
AA,Source of Water Supply,Phosphorus,20 ug/L,threshold,single,greater,20,ug/L,f,,,
AA,Source of Water Supply,Copper,200 ug/L,threshold,single,greater,200,ug/L,f,,,
AA,Source of Water Supply,CHLORIDE (AS CL),"250,000 ug/L",threshold,single,greater,250000,ug/L,f,Yes,,
AA,Source of Water Supply,Iron,300 ug/L,threshold,single,greater,300,ug/L,f,,,
AA,Source of Water Supply,Manganese,300 ug/L,threshold,single,greater,300,ug/L,f,Yes,,
AA,Source of Water Supply,Arsenic,50 ug/L,threshold,single,greater,50,ug/L,f,Yes,,
AA,Source of Water Supply,Lead,50 ug/L,threshold,single,greater,50,ug/L,f,,,
AA,Source of Water Supply,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",500 ug/L,threshold,single,greater,500,ug/L,f,,,
AA,Source of Water Supply,Zinc,exp(0.85 [ln(ppm hardness)] + 0.50),calculation,single,greater,,calculation,t,Yes,,
AA,Source of Water Supply,Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 50 and 240",median,monthly,greater,50,calculation,f,,,
AA,Source of Water Supply,Total Coliform,"Monthly median and more than 20 percent of the samples, from a minimum of five examinations, shall not exceed 50 and 240",calculation,percentage,greater,240,calculation,t,,,
