,Characteristic.Name,SAMPLE_DATE,Depth,Result.Value,Result.Unit,SITE_PWL_ID,SITE_HISTORY_ID
98523,TURBIDITY,8/12/2019,1.279,2.25,FNU,1306-0037,sturgeon_pool
98524,TURBIDITY,7/22/2019,9.047,3.2,FNU,1306-0037,sturgeon_pool
98525,TURBIDITY,7/22/2019,9.052,3.02,FNU,1306-0037,sturgeon_pool
98526,TURBIDITY,7/22/2019,6.284,2.76,FNU,1306-0037,sturgeon_pool
98527,TURBIDITY,7/22/2019,8.155,2.66,FNU,1306-0037,sturgeon_pool
98528,TURBIDITY,7/22/2019,8.153,2.76,FNU,1306-0037,sturgeon_pool
98529,TURBIDITY,7/22/2019,12.756,2.48,FNU,1306-0037,sturgeon_pool
98530,TURBIDITY,8/12/2019,13.937,3.67,FNU,1306-0037,sturgeon_pool
98531,TURBIDITY,8/12/2019,13.647,3.95,FNU,1306-0037,sturgeon_pool
98532,TURBIDITY,8/12/2019,11.018,3.98,FNU,1306-0037,sturgeon_pool
98533,TURBIDITY,8/12/2019,4.024,2.29,FNU,1306-0037,sturgeon_pool
98534,TURBIDITY,8/12/2019,13.708,3.98,FNU,1306-0037,sturgeon_pool
98535,TURBIDITY,8/12/2019,-0.034,1.95,FNU,1306-0037,sturgeon_pool
98536,TURBIDITY,8/12/2019,1.133,2.23,FNU,1306-0037,sturgeon_pool
98537,TURBIDITY,9/3/2019,12.529,2.55,FNU,1306-0037,sturgeon_pool
98538,TURBIDITY,7/22/2019,12.77,2.35,FNU,1306-0037,sturgeon_pool
98539,TURBIDITY,7/22/2019,5.395,2.96,FNU,1306-0037,sturgeon_pool
98540,TURBIDITY,8/12/2019,7.026,3.36,FNU,1306-0037,sturgeon_pool
98541,TURBIDITY,8/12/2019,12.148,3.83,FNU,1306-0037,sturgeon_pool
98542,TURBIDITY,7/22/2019,12.792,2.86,FNU,1306-0037,sturgeon_pool
98543,TURBIDITY,7/22/2019,14.287,2.69,FNU,1306-0037,sturgeon_pool
98544,TURBIDITY,7/22/2019,14.435,2.5,FNU,1306-0037,sturgeon_pool
98545,TURBIDITY,8/12/2019,12.026,3.74,FNU,1306-0037,sturgeon_pool
98546,TURBIDITY,8/12/2019,7.974,3.99,FNU,1306-0037,sturgeon_pool
98547,TURBIDITY,8/12/2019,11.95,3.83,FNU,1306-0037,sturgeon_pool
98548,TURBIDITY,9/3/2019,9.37,2.14,FNU,1306-0037,sturgeon_pool
98549,TURBIDITY,7/22/2019,9.05,3.26,FNU,1306-0037,sturgeon_pool
98550,TURBIDITY,7/22/2019,2.505,4.59,FNU,1306-0037,sturgeon_pool
98551,TURBIDITY,8/12/2019,12.11,3.85,FNU,1306-0037,sturgeon_pool
98552,TURBIDITY,8/12/2019,2.945,2.29,FNU,1306-0037,sturgeon_pool
98553,TURBIDITY,7/22/2019,12.783,2.37,FNU,1306-0037,sturgeon_pool
98554,TURBIDITY,7/22/2019,12.764,2.54,FNU,1306-0037,sturgeon_pool
98555,TURBIDITY,8/12/2019,12.961,3.69,FNU,1306-0037,sturgeon_pool
98556,TURBIDITY,9/3/2019,0.784,1.14,FNU,1306-0037,sturgeon_pool
98557,TURBIDITY,8/12/2019,1.856,2.25,FNU,1306-0037,sturgeon_pool
98558,TURBIDITY,8/12/2019,0.975,2.18,FNU,1306-0037,sturgeon_pool
98559,TURBIDITY,7/22/2019,10.05,3.24,FNU,1306-0037,sturgeon_pool
98560,TURBIDITY,8/12/2019,10.188,3.95,FNU,1306-0037,sturgeon_pool
98561,TURBIDITY,7/22/2019,10.931,5.34,FNU,1306-0037,sturgeon_pool
98562,TURBIDITY,8/12/2019,10.169,4.04,FNU,1306-0037,sturgeon_pool
98563,TURBIDITY,7/22/2019,12.779,2.33,FNU,1306-0037,sturgeon_pool
98564,TURBIDITY,8/12/2019,7.884,3.8,FNU,1306-0037,sturgeon_pool
98565,TURBIDITY,7/22/2019,14.335,2.73,FNU,1306-0037,sturgeon_pool
98566,TURBIDITY,7/22/2019,3.495,4.91,FNU,1306-0037,sturgeon_pool
98567,TURBIDITY,8/12/2019,12.958,4.07,FNU,1306-0037,sturgeon_pool
98568,TURBIDITY,8/12/2019,-0.023,1.97,FNU,1306-0037,sturgeon_pool
98569,TURBIDITY,8/12/2019,11.022,3.97,FNU,1306-0037,sturgeon_pool
98570,TURBIDITY,8/12/2019,6.353,3.08,FNU,1306-0037,sturgeon_pool
98571,TURBIDITY,8/12/2019,6.356,3.03,FNU,1306-0037,sturgeon_pool
98572,TURBIDITY,8/12/2019,10.959,4.16,FNU,1306-0037,sturgeon_pool
98573,TURBIDITY,8/12/2019,13.867,4.1,FNU,1306-0037,sturgeon_pool
98574,TURBIDITY,9/3/2019,2.862,1.39,FNU,1306-0037,sturgeon_pool
98575,TURBIDITY,8/12/2019,9.068,3.83,FNU,1306-0037,sturgeon_pool
98576,TURBIDITY,8/12/2019,7.012,3.26,FNU,1306-0037,sturgeon_pool
98577,TURBIDITY,8/12/2019,5.134,3.06,FNU,1306-0037,sturgeon_pool
98578,TURBIDITY,8/12/2019,12.053,3.62,FNU,1306-0037,sturgeon_pool
98579,TURBIDITY,8/12/2019,10.143,3.99,FNU,1306-0037,sturgeon_pool
98580,TURBIDITY,8/12/2019,8.026,3.99,FNU,1306-0037,sturgeon_pool
98581,TURBIDITY,9/3/2019,6.203,1.47,FNU,1306-0037,sturgeon_pool
98582,TURBIDITY,8/12/2019,12.158,3.88,FNU,1306-0037,sturgeon_pool
98583,TURBIDITY,7/22/2019,10.075,3.67,FNU,1306-0037,sturgeon_pool
98584,TURBIDITY,8/12/2019,9.058,3.77,FNU,1306-0037,sturgeon_pool
98585,TURBIDITY,8/12/2019,6.076,3.11,FNU,1306-0037,sturgeon_pool
98586,TURBIDITY,8/12/2019,13.788,4.07,FNU,1306-0037,sturgeon_pool
98587,TURBIDITY,8/12/2019,1.529,2.23,FNU,1306-0037,sturgeon_pool
98588,TURBIDITY,8/12/2019,12.928,3.86,FNU,1306-0037,sturgeon_pool
98589,TURBIDITY,8/12/2019,12.95,3.86,FNU,1306-0037,sturgeon_pool
98590,TURBIDITY,9/3/2019,14.769,3.15,FNU,1306-0037,sturgeon_pool
98591,TURBIDITY,9/3/2019,13.671,3.45,FNU,1306-0037,sturgeon_pool
98592,TURBIDITY,8/12/2019,2.984,2.22,FNU,1306-0037,sturgeon_pool
98593,TURBIDITY,7/22/2019,-0.139,5.06,FNU,1306-0037,sturgeon_pool
98594,TURBIDITY,7/22/2019,8.196,2.71,FNU,1306-0037,sturgeon_pool
98595,TURBIDITY,8/12/2019,7.046,3.31,FNU,1306-0037,sturgeon_pool
98596,TURBIDITY,8/12/2019,1.793,2.2,FNU,1306-0037,sturgeon_pool
98597,TURBIDITY,8/12/2019,4.026,2.18,FNU,1306-0037,sturgeon_pool
98598,TURBIDITY,8/12/2019,1.374,2.24,FNU,1306-0037,sturgeon_pool
98599,TURBIDITY,8/12/2019,9.06,3.82,FNU,1306-0037,sturgeon_pool
98600,TURBIDITY,8/12/2019,2.857,2.3,FNU,1306-0037,sturgeon_pool
98601,TURBIDITY,8/12/2019,5.09,2.57,FNU,1306-0037,sturgeon_pool
98602,TURBIDITY,7/22/2019,-0.141,5.04,FNU,1306-0037,sturgeon_pool
98603,TURBIDITY,7/22/2019,3.498,4.65,FNU,1306-0037,sturgeon_pool
98604,TURBIDITY,9/3/2019,14.357,2.33,FNU,1306-0037,sturgeon_pool
98605,TURBIDITY,8/12/2019,12.935,3.81,FNU,1306-0037,sturgeon_pool
98606,TURBIDITY,8/12/2019,13.838,3.96,FNU,1306-0037,sturgeon_pool
98607,TURBIDITY,7/22/2019,13.699,2.14,FNU,1306-0037,sturgeon_pool
98608,TURBIDITY,7/22/2019,13.633,2.37,FNU,1306-0037,sturgeon_pool
98609,TURBIDITY,8/12/2019,12.089,3.87,FNU,1306-0037,sturgeon_pool
98610,TURBIDITY,9/3/2019,0.736,1.01,FNU,1306-0037,sturgeon_pool
98611,TURBIDITY,7/22/2019,11.857,3.69,FNU,1306-0037,sturgeon_pool
98612,TURBIDITY,8/12/2019,4.017,2.32,FNU,1306-0037,sturgeon_pool
98613,TURBIDITY,8/12/2019,9.078,4.06,FNU,1306-0037,sturgeon_pool
98614,TURBIDITY,9/3/2019,4.261,1.43,FNU,1306-0037,sturgeon_pool
98615,TURBIDITY,9/3/2019,7.946,1.72,FNU,1306-0037,sturgeon_pool
98616,TURBIDITY,8/12/2019,6.203,3.09,FNU,1306-0037,sturgeon_pool
98617,TURBIDITY,8/12/2019,-0.031,1.95,FNU,1306-0037,sturgeon_pool
98618,TURBIDITY,7/22/2019,7.262,2.71,FNU,1306-0037,sturgeon_pool
98619,TURBIDITY,7/22/2019,14.3,2.59,FNU,1306-0037,sturgeon_pool
98620,TURBIDITY,8/12/2019,12.945,3.73,FNU,1306-0037,sturgeon_pool
98621,TURBIDITY,8/12/2019,9.055,3.95,FNU,1306-0037,sturgeon_pool
98622,TURBIDITY,8/12/2019,1.473,2.3,FNU,1306-0037,sturgeon_pool
98623,TURBIDITY,8/12/2019,10.991,4.09,FNU,1306-0037,sturgeon_pool
98624,TURBIDITY,9/3/2019,11.387,3.26,FNU,1306-0037,sturgeon_pool
98625,TURBIDITY,8/12/2019,12.942,3.88,FNU,1306-0037,sturgeon_pool
98626,TURBIDITY,7/22/2019,4.501,3.97,FNU,1306-0037,sturgeon_pool
98627,TURBIDITY,8/12/2019,11.01,4.09,FNU,1306-0037,sturgeon_pool
98628,TURBIDITY,9/3/2019,9.813,2.73,FNU,1306-0037,sturgeon_pool
98629,TURBIDITY,7/22/2019,1.053,5.13,FNU,1306-0037,sturgeon_pool
98630,TURBIDITY,7/22/2019,11.864,5.53,FNU,1306-0037,sturgeon_pool
98631,TURBIDITY,8/12/2019,11.027,3.98,FNU,1306-0037,sturgeon_pool
98632,TURBIDITY,7/22/2019,8.155,2.8,FNU,1306-0037,sturgeon_pool
98308,TEMPERATURE,8/13/2013,6,22.6,deg C,1306-0037,sturgeon_pool
98309,TEMPERATURE,8/13/2013,5,22.6,deg C,1306-0037,sturgeon_pool
98310,TEMPERATURE,8/13/2013,2,22.7,deg C,1306-0037,sturgeon_pool
98311,TEMPERATURE,9/11/2013,17.04,21.28,deg C,1306-0037,sturgeon_pool
98312,TEMPERATURE,9/11/2013,4.05,22.28,deg C,1306-0037,sturgeon_pool
98313,TEMPERATURE,9/11/2013,6.01,21.84,deg C,1306-0037,sturgeon_pool
