station,Water.Collection.Test.Start.Date,Reproductive.Rate..Young..U.2640..7days....Control.,Porewater.EC50....,Porewater.Assessment,stationID,Latitude,Longitude
,,,,,,NA,
,,,,,,NA,
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],4/24/2012,14.8 (89),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],4/30/2007,24.1 (111),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],9/1/2012,15.6 (104),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],9/18/2012,15.6 (104),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],10/17/2007,22.6 (114),100,Non-toxic,2010023,42.156667,-78.715833
Allegheny River @ Salamanca 02010023 (ALGY-08A) [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,2010023,42.156667,-78.715833
Alplaus Kill @ West Charlton 12051117 (ALPL-16.1) [INTENSIVE],5/3/2016,25.0 (102),100,Non-toxic,12051117,42.9745,-74.0199
Alplaus Kill @ West Charlton 12051117 (ALPL-16.1) [INTENSIVE],7/27/2016,22.0 (105),100,Non-toxic,12051117,42.9745,-74.0199
Alplaus Kill @ West Charlton 12051117 (ALPL-16.1) [INTENSIVE],10/20/2016,21.9 (81),100,Non-toxic,12051117,42.9745,-74.0199
Anthony Kill @ Mechanicville 11011101 (ANTH-01) [INTENSIVE],4/24/2012,20.0 (109),90,Non-toxic,11011101,42.90916824,-73.68916321
Anthony Kill @ Mechanicville 11011101 (ANTH-01) [INTENSIVE],9/17/2012,20.3 (99),90,Non-toxic,11011101,42.90916824,-73.68916321
Anthony Kill @ Mechanicville 11011101 (ANTH-01) [INTENSIVE],10/29/2012,18.1 (102),90,Non-toxic,11011101,42.90916824,-73.68916321
Ausable River @ Ausable 10041102 (SABL-13) [INTENSIVE],5/6/2009,24.2 (111),100,Non-toxic,10041102,44.55889,-73.44917
Ausable River @ Ausable 10041102 (SABL-13) [INTENSIVE],8/26/2009,23.3 (140),100,Non-toxic,10041102,44.55889,-73.44917
Ausable River @ Ausable 10041102 (SABL-13) [INTENSIVE],10/28/2009,21.7 (136),100,Non-toxic,10041102,44.55889,-73.44917
Ausable River @ Clintonville [ROUTINE],4/18/2018,**3.8 (19),*20,Severely Toxic,10-SABL-14.6,44.464375,?73.575255000
Ausable River @ Clintonville [ROUTINE],8/14/2018,24.6 (90),100,Non-toxic,10-SABL-14.6,46.464375,?73.575255002
Ausable River @ Clintonville [ROUTINE],10/16/2018,**6.3 (38),100,Slightly Toxic,10-SABL-14.6,47.464375,?73.575255003
Ausable River @ Clintonville [ROUTINE],NOT SAMPLED,N/A,N/A,N/A,10-SABL-14.6,45.464375,?73.575255001
Ballou Creek @ Utica 12051601 (BALU-0.1) [INTENSIVE],5/4/2016,18.6 (76),100,Non-toxic,12051601,43.1017,-75.2003
Ballou Creek @ Utica 12051601 (BALU-0.1) [INTENSIVE],7/26/2016,**9.9 (47),*50,Severely Toxic,12051601,43.1017,-75.2003
Ballou Creek @ Utica 12051601 (BALU-0.1) [INTENSIVE],10/19/2016,25.9 (96),100,Non-toxic,12051601,43.1017,-75.2003
Basher Kill @ Cuddebackville 14022101 (BSHR-01) [INTENSIVE],4/5/2005,19.7 (78),100,Non-toxic,14022101,41.4538888,-74.5888888
Basher Kill @ Cuddebackville 14022101 (BSHR-01) [INTENSIVE],7/5/2005,28.7 (86),100,Non-toxic,14022101,41.4538888,-74.5888888
Basher Kill @ Cuddebackville 14022101 (BSHR-01) [INTENSIVE],10/12/2005,12.6 (91),100,Non-toxic,14022101,41.4538888,-74.5888888
Basher Kill @ Cuddebackville 14022104 (BSHR-01) [INTENSIVE],4/8/2010,22.6 (114),100,Non-toxic,14022104,41.48468,-74.57228
Basher Kill @ Cuddebackville 14022104 (BSHR-01) [INTENSIVE],7/21/2010,23.8 (113),100,Non-toxic,14022104,41.48468,-74.57228
Basher Kill @ Cuddebackville 14022104 (BSHR-01) [INTENSIVE],9/13/2010,18.9 (78),90,Non-toxic,14022104,41.48468,-74.57228
Basic Creek @ Freehold 13092100 (BASC-07) [INTENSIVE],4/28/2008,**4.9 (23),*50,Severely Toxic,13092100,42.35947,-74.05067
Basic Creek @ Freehold 13092100 (BASC-07) [INTENSIVE],7/29/2008,26.2 (90),90,Non-toxic,13092100,42.35947,-74.05067
